PMID	genename	PTOterm	sent
14534788	SPS	SPS	In agreement with this hypothesis, transgenic rice plants with a maize SPS gene that had about 3 times the SPS activity of that in Nipponbare (control plants) were significantly taller than Nipponbare from the early growth stage.
14534788	SPS	SPS	In agreement with this hypothesis, transgenic rice plants with a maize SPS gene that had about 3 times the SPS activity of that in Nipponbare (control plants) were significantly taller than Nipponbare from the early growth stage.
14534788	SPS	SPS	In agreement with this hypothesis, transgenic rice plants with a maize SPS gene that had about 3 times the SPS activity of that in Nipponbare (control plants) were significantly taller than Nipponbare from the early growth stage.
14534788	SPS	SPS	In agreement with this hypothesis, transgenic rice plants with a maize SPS gene that had about 3 times the SPS activity of that in Nipponbare (control plants) were significantly taller than Nipponbare from the early growth stage.
14534788	SPS	SPS	In agreement with this hypothesis, transgenic rice plants with a maize SPS gene that had about 3 times the SPS activity of that in Nipponbare (control plants) were significantly taller than Nipponbare from the early growth stage.
14534788	SPS	SPS	From these results and the physiological data from NIL6, we concluded that SPS is the targeted gene underlying QTLph1.
14534788	SPS	SPS	From these results and the physiological data from NIL6, we concluded that SPS is the targeted gene underlying QTLph1.
14534788	SPS	SPS	From these results and the physiological data from NIL6, we concluded that SPS is the targeted gene underlying QTLph1.
14534788	SPS	SPS	From these results and the physiological data from NIL6, we concluded that SPS is the targeted gene underlying QTLph1.
14534788	SPS	SPS	From these results and the physiological data from NIL6, we concluded that SPS is the targeted gene underlying QTLph1.
14534788	SPS	SPS	From these results and the physiological data from NIL6, we concluded that SPS is the targeted gene underlying QTLph1.
14534788	SPS	SPS	From these results and the physiological data from NIL6, we concluded that SPS is the targeted gene underlying QTLph1.
14729919	agd2	disease susceptibility	ALD1-deficient mutants have the opposite phenotypes from agd2-1, showing reduced SA production and increased disease susceptibility.
14729919	ALD1	disease susceptibility	ALD1-deficient mutants have the opposite phenotypes from agd2-1, showing reduced SA production and increased disease susceptibility.
14729919	agd2	disease resistance	ALD1 is responsible for some of the elevated SA content and a majority of the disease resistance and dwarfism of agd2-1.
14729919	ALD1	disease resistance	ALD1 is responsible for some of the elevated SA content and a majority of the disease resistance and dwarfism of agd2-1.
14988485	NHX1	salt tolerance	In addition, overexpression of OsNHX1 improved the salt tolerance of transgenic rice cells and plants.
14988485	NHX1	salt tolerance	These results suggest that OsNHX1 on the tonoplasts plays important roles in the compartmentation of Na(+) and K(+) highly accumulated in the cytoplasm into the vacuoles, and the amount of the antiporter is one of the most important factors determining salt tolerance in rice.
15020633	ERL1	ethylene response	The cDNA (2880 bp), corresponding to the Os-ERL1 gene (Oryza sativa ETHYLENE RESPONSE 2 like 1; GenBank accession number AB107219), contained an open reading frame of 2289 bp coding for 763 amino acids.
15141293	Pi5	blast disease resistance	The rice Pi5(t) locus confers broad-spectrum resistance to Magnaporthe grisea, the causal agent of rice blast disease.
15141293	Pi5	blast disease resistance	The rice Pi5(t) locus confers broad-spectrum resistance to Magnaporthe grisea, the causal agent of rice blast disease.
15141293	Pi5	disease resistance	The rice Pi5(t) locus confers broad-spectrum resistance to Magnaporthe grisea, the causal agent of rice blast disease.
15141293	Pi5	disease resistance	The rice Pi5(t) locus confers broad-spectrum resistance to Magnaporthe grisea, the causal agent of rice blast disease.
15247400	phytoene synthase	carotenoid content	To better understand why these two related grasses differ in endosperm carotenoid content, we began to characterize genes encoding phytoene synthase (PSY), since this nuclear-encoded enzyme appeared to catalyze a rate-controlling step in the plastid-localized biosynthetic pathway.
15247400	PSY	carotenoid content	To better understand why these two related grasses differ in endosperm carotenoid content, we began to characterize genes encoding phytoene synthase (PSY), since this nuclear-encoded enzyme appeared to catalyze a rate-controlling step in the plastid-localized biosynthetic pathway.
15452707	CAD	lignin biosynthesis	Cinnamyl-alcohol dehydrogenase (CAD) is an enzyme important in lignin biosynthesis.
15509765	FON1	floral organ number	Mutations in the gene FLORAL ORGAN NUMBER1 (FON1) cause enlargement of the floral meristem in Oryza sativa (rice), resulting in an increase in the number of all floral organs.
15509765	FON1	floral organ number	Mutations in the gene FLORAL ORGAN NUMBER1 (FON1) cause enlargement of the floral meristem in Oryza sativa (rice), resulting in an increase in the number of all floral organs.
15574840	GS1	GS1	Among the three isoenzymes of the cytosolic GS1 gene family in rice, OsGLN1;1 and OsGLN1;2 were abundantly expressed in roots.
15574840	GS1	GS1	Among the three isoenzymes of the cytosolic GS1 gene family in rice, OsGLN1;1 and OsGLN1;2 were abundantly expressed in roots.
15574840	GLN1;1	GS1	Among the three isoenzymes of the cytosolic GS1 gene family in rice, OsGLN1;1 and OsGLN1;2 were abundantly expressed in roots.
15574840	GLN1;1	GS1	Among the three isoenzymes of the cytosolic GS1 gene family in rice, OsGLN1;1 and OsGLN1;2 were abundantly expressed in roots.
15574840	GLN1;2	GS1	Among the three isoenzymes of the cytosolic GS1 gene family in rice, OsGLN1;1 and OsGLN1;2 were abundantly expressed in roots.
15574840	GLN1;2	GS1	Among the three isoenzymes of the cytosolic GS1 gene family in rice, OsGLN1;1 and OsGLN1;2 were abundantly expressed in roots.
15574840	GS1	GS1	Low-affinity forms of GS1 comparable to those in Arabidopsis (GLN1;2 and GLN1;3) were absent in rice roots.
15574840	GS1	GS1	Low-affinity forms of GS1 comparable to those in Arabidopsis (GLN1;2 and GLN1;3) were absent in rice roots.
15574840	GLN1;2	GS1	Low-affinity forms of GS1 comparable to those in Arabidopsis (GLN1;2 and GLN1;3) were absent in rice roots.
15574840	GLN1;2	GS1	Low-affinity forms of GS1 comparable to those in Arabidopsis (GLN1;2 and GLN1;3) were absent in rice roots.
15574840	GLN1;1	root activity	The high-capacity Gln synthetic activities of OsGLN1;1 and OsGLN1;2 facilitate active ammonium assimilation in specific cell types in rice roots.
15574840	GLN1;1	root activity	The high-capacity Gln synthetic activities of OsGLN1;1 and OsGLN1;2 facilitate active ammonium assimilation in specific cell types in rice roots.
15574840	GLN1;2	root activity	The high-capacity Gln synthetic activities of OsGLN1;1 and OsGLN1;2 facilitate active ammonium assimilation in specific cell types in rice roots.
15574840	GLN1;2	root activity	The high-capacity Gln synthetic activities of OsGLN1;1 and OsGLN1;2 facilitate active ammonium assimilation in specific cell types in rice roots.
15599592	AKT1	potassium sensitivity	To unravel the mechanisms of K+ uptake and its sensitivity to salt stress in the model plant rice, we isolated and functionally characterized OsAKT1, a potassium channel homologous to the Arabidopsis root inward rectifier AKT1.
15599592	AKT1	potassium sensitivity	To unravel the mechanisms of K+ uptake and its sensitivity to salt stress in the model plant rice, we isolated and functionally characterized OsAKT1, a potassium channel homologous to the Arabidopsis root inward rectifier AKT1.
15599592	AKT1	potassium sensitivity	To unravel the mechanisms of K+ uptake and its sensitivity to salt stress in the model plant rice, we isolated and functionally characterized OsAKT1, a potassium channel homologous to the Arabidopsis root inward rectifier AKT1.
15599592	AKT1	salt sensitivity	To unravel the mechanisms of K+ uptake and its sensitivity to salt stress in the model plant rice, we isolated and functionally characterized OsAKT1, a potassium channel homologous to the Arabidopsis root inward rectifier AKT1.
15599592	AKT1	salt sensitivity	To unravel the mechanisms of K+ uptake and its sensitivity to salt stress in the model plant rice, we isolated and functionally characterized OsAKT1, a potassium channel homologous to the Arabidopsis root inward rectifier AKT1.
15599592	AKT1	salt sensitivity	To unravel the mechanisms of K+ uptake and its sensitivity to salt stress in the model plant rice, we isolated and functionally characterized OsAKT1, a potassium channel homologous to the Arabidopsis root inward rectifier AKT1.
15599592	AKT1	potassium uptake	To unravel the mechanisms of K+ uptake and its sensitivity to salt stress in the model plant rice, we isolated and functionally characterized OsAKT1, a potassium channel homologous to the Arabidopsis root inward rectifier AKT1.
15599592	AKT1	potassium uptake	To unravel the mechanisms of K+ uptake and its sensitivity to salt stress in the model plant rice, we isolated and functionally characterized OsAKT1, a potassium channel homologous to the Arabidopsis root inward rectifier AKT1.
15599592	AKT1	potassium uptake	To unravel the mechanisms of K+ uptake and its sensitivity to salt stress in the model plant rice, we isolated and functionally characterized OsAKT1, a potassium channel homologous to the Arabidopsis root inward rectifier AKT1.
15794761	XIP-I	enzymatic activity	Sequence and structural similarities indicate that XIP-I is related to chitinases of family GH18, despite its lack of enzymatic activity.
15915636	LSD1	chlorophyll content	Overexpression of OsLSD1 driven by the cauliflower mosaic virus 35S promoter accelerated callus differentiation in transformed rice tissues and increased chlorophyll b content in transgenic rice plants.
15915636	LSD1	chlorophyll content	Overexpression of OsLSD1 driven by the cauliflower mosaic virus 35S promoter accelerated callus differentiation in transformed rice tissues and increased chlorophyll b content in transgenic rice plants.
15915636	LSD1	chlorophyll content	Overexpression of OsLSD1 driven by the cauliflower mosaic virus 35S promoter accelerated callus differentiation in transformed rice tissues and increased chlorophyll b content in transgenic rice plants.
16085936	PIN1	plant phenotype	Adventitious root emergence and development were significantly inhibited in the OsPIN1 RNA interference (RNAi) transgenic plants, which was similar to the phenotype of NPA (N-1-naphthylphalamic acid, an auxin-transport inhibitor)-treated wild-type plants.
