genename	relation	PTOterm	distance
atpao5	rescue	plant phenotype	4
el5	increased	cytokinin content	4
mel5	increased	cytokinin content	4
kasi	resulted	seed fertility	5
hrd3	reduced	endosperm quality	5
eil1	improves	salt tolerance	3
eil1	is	salt tolerance	4
eil1	promotes	grain size	4
eil1	provides	ethylene response	3
myb58	shown	lignin biosynthesis	5
myb63	shown	lignin biosynthesis	5
myb58	is	lignin biosynthesis	7
myb63	is	lignin biosynthesis	7
aux1	result	auxin content	3
aux1	enhanced	oxygen sensitivity	4
d27	inhibited	shoot branching	4
ccd7	inhibited	shoot branching	5
pgk	indicate	stress tolerance	4
pgk	indicate	salt tolerance	4
atcyp194	confirmed	an	6
fdc2	exhibited	plant phenotype	4
fdc2	exhibited	plant color	4
fdc2	suggest	head date	7
fdc2	suggest	chlorophyll content	6
fdc2	suggest	photosynthetic rate	5
rcn1	involves	aba response	4
sro1	suggests	stress tolerance	5
sro1	suggests	abiotic stress tolerance	5
ccd1	affects	salt tolerance	5
det1	had	plant phenotype	6
det1	exhibited	plant phenotype	2
ald1	were	gm	3
ald1	conclude	blast disease resistance	6
ald1	conclude	disease resistance	6
dex1	delayed	pollen sterility	5
dex1	delayed	male sterility	6
dep1	used	genetic trait	4
cer2	resulted	cell length	5
sps1	showed	carbohydrate content	5
sps1	showed	sps	7
pi54	developed	genetic trait	7
shr	demonstrate	root number	3
atshr	demonstrate	root number	3
sard1	downregulated	plant phenotype	5
sard1	examined	plant phenotype	3
sard1	were	plant height	2
siz1	stresses	drought sensitivity	5
siz1	stresses	salt sensitivity	5
ice1	enhanced	cold tolerance	3
ice1	showed	cold tolerance	4
ice1	demonstrated	cold tolerance	5
sqd2	exhibited	seed set	5
sqd2	exhibited	tiller number	5
hy5	cause	plant height	7
otub1	enhances	tiller number	7
otub1	enhances	grain weight	7
otub1	enhances	grain number	7
tor	revealed	shoot meristem development	5
tor	revealed	root meristem development	5
tor	revealed	shoot apical meristem development	5
lazy1	is	branch angle	5
hth	suggested	pollen fertility	5
sams	protein	enzymatic activity	5
sams1	protein	enzymatic activity	5
mir159	showed	plant cell size	3
mir159	showed	cell division cycle	6
lap6	exhibited	male sterility	3
bon1	In	disease resistance	2
myc2	showed	disease resistance	5
myc2	showed	bacterial disease resistance	6
an3	indicate	leaf size	9
an3	demonstrated	leaf size	7
cer1	led	pollen sterility	7
npr1	regulate	disease resistance	6
hd1	analyzed	flower type	4
hd1	analyzed	flower type	4
dth8	analyzed	flower type	4
ghd7	analyzed	flower type	4
ehd1	analyzed	flower type	4
rft1	analyzed	flower type	3
hd3a	analyzed	flower type	4
dep1	uncovered	grain number	4
tkpr1	reduced	pollen sterility	7
tkpr1	reduced	male sterility	8
eds1	suggesting	disease resistance	7
eds1	modulates	disease resistance	3
eds1	required	disease resistance	4
ago1	caused	plant height	6
ago1	caused	tiller number	5
ago1	caused	plant phenotype	4
pin1	had	branch angle	5
rbr	caused	organ identity	2
miz1	stress	stress tolerance	3
miz1	stress	drought tolerance	2
miz1	stress	salt tolerance	3
peroxidase	showed	cu content	4
peroxidase	showed	root cu content	3
qph1osga20ox2	identified	yield trait	4
osmads50	identified	yield trait	3
osnas3	identified	yield trait	4
sex4	used	straw yield	3
gpt	used	starch yield	5
ga1	reduced	ga content	3
rpe	have	plant phenotype	2
