PMID	gene_id	gene_name	gene_time	PTO	term	PTO_time
16926158	778378	['HvDMAS1']	1	TO:0000599	enzyme activity trait|enzymatic activity|enzyme catalytic activity	1
16926158	778439	['ZmDMAS1']	1	TO:0000599	enzyme activity trait|enzymatic activity|enzyme catalytic activity	1
16926158	100037594	['TaDMAS1']	1	TO:0000599	enzyme activity trait|enzymatic activity|enzyme catalytic activity	1
17609219	851891	['SUR2', 'sur2']	2	TO:0000387	plant trait|plant phenotype|plant quality	1
15078816	831441	['CONSTANS']	1	TO:0000137	days to heading|DTHD|heading date	1
15078816	842859	['FLOWERING LOCUS T']	1	TO:0000137	days to heading|DTHD|heading date	1
19762423	819174	['SUPPRESOR OF OVEREXPRESSION OF CONSTANS 1', 'SOC1']	2	TO:0000072	awn length|An|awning|AWNLG	1
19762423	843244	['APETALA1']	1	TO:0000072	awn length|An|awning|AWNLG	1
23437005	829969	['Hd1']	2	TO:0000137	days to heading|DTHD|heading date	1
24420930	842940	['Arabidopsis Trithorax protein1', 'ATX1']	3	TO:0006018	organ identity	1
24420930	842940	['Arabidopsis Trithorax protein1', 'ATX1']	3	TO:0006019	floral organ identity	1
24420930	842940	['Arabidopsis Trithorax protein1', 'ATX1']	3	TO:0000207	plant height|Ht|PTHT|shoot height	1
24420930	842940	['Arabidopsis Trithorax protein1', 'ATX1']	3	TO:0002759	grain number|GRNB|kernel number	1
23147221	689	['Osj10gBTF3', 'BTF3']	10	TO:0000421	pollen fertility|POFRT	1
25327517	54821	['Plk1-Interacting Checkpoint Helicase', 'PICH']	5	TO:0000231	endospermless|ENDMIN	1
25327517	54821	['Plk1-Interacting Checkpoint Helicase', 'PICH']	5	TO:0000180	spikelet fertility|percent sterility|seed setting|SpFert|SPKFRT	1
24043854	816305	['WUSCHEL', 'WUS']	2	TO:0000434	root activity|RTACT	1
24043854	820297	['WOX5']	1	TO:0000434	root activity|RTACT	1
15509765	843915	['CLAVATA1', 'CLV1']	4	TO:0002600	floral organ size	1
15509765	843915	['CLAVATA1', 'CLV1']	4	TO:0006038	floral organ number	2
15509765	821888	['FON1', 'fon1']	7	TO:0002600	floral organ size	1
15509765	821888	['FON1', 'fon1']	7	TO:0006038	floral organ number	2
17012407	817267	['CLAVATA3', 'CLV3']	6	TO:0000027	culm number|CmN	1
17012407	817267	['CLAVATA3', 'CLV3']	6	TO:0000547	primary branch number|NPB|number of primary rachis branches|panicle primary branch number|PBRNB|PRB|primary branches per panicle	1
17012407	817267	['CLAVATA3', 'CLV3']	6	TO:0000953	stem number|stalk number	1
17012407	817267	['CLAVATA3', 'CLV3']	6	TO:0006038	floral organ number	1
19834537	107276890	['FON2', 'fon2']	8	TO:0006017	meristem identity|meristem determinacy	1
19834537	4329179	['FOS1']	9	TO:0006017	meristem identity|meristem determinacy	1
17056620	817267	['CLAVATA3', 'CLV3']	3	TO:0000582	inflorescence number|INFLONB	2
17056620	817267	['CLAVATA3', 'CLV3']	3	TO:0006038	floral organ number	2
17056620	817267	['CLAVATA3', 'CLV3']	3	TO:0002600	floral organ size	1
17056620	817267	['CLAVATA3', 'CLV3']	3	TO:0006031	inflorescence size	1
14503923	542097	['BD1']	2	TO:0000456	spikelet number|number of spikelets per panicle|spikelet number per panicle|SPKNB	1
14503923	542097	['BD1']	2	TO:0006017	meristem identity|meristem determinacy	1
14503923	542097	['BD1']	2	TO:0006018	organ identity	1
14503923	542097	['BD1']	2	TO:0006030	spikelet meristem identity	1
14503923	542097	['BD1']	2	TO:0000050	inflorescence branching|panicle branching	1
12835399	542097	['BD1']	1	TO:0000050	inflorescence branching|panicle branching	1
12835399	542097	['BD1']	1	TO:0006017	meristem identity|meristem determinacy	1
12835399	542097	['BD1']	1	TO:0006030	spikelet meristem identity	1
23775595	843751	['AtCYP78A10']	1	TO:0000113	giant embryo	1
23775595	843751	['AtCYP78A10']	1	TO:0000397	grain size|GRSZ	1
23775595	843751	['AtCYP78A10']	1	TO:0002684	plant cell size	1
15452707	542663	['CAD']	4	TO:0000733	lignin biosynthesis trait|lignin biosynthesis	1
23713079	4344399	['PRR37']	7	TO:0000229	photoperiod sensitivity trait|PPDSN	1
23713079	4344399	['PRR37']	7	TO:0000137	days to heading|DTHD|heading date	1
22399582	817134	['ELF3', 'EARLY FLOWERING 3']	2	TO:0002616	flowering time trait|anthesis timing|time of flowering	1
22399582	817134	['ELF3', 'EARLY FLOWERING 3']	2	TO:0000137	days to heading|DTHD|heading date	1
22399582	817134	['ELF3', 'EARLY FLOWERING 3']	2	TO:0000207	plant height|Ht|PTHT|shoot height	1
22399582	817134	['ELF3', 'EARLY FLOWERING 3']	2	TO:0002759	grain number|GRNB|kernel number	1
20716699	851842	['GID2']	4	TO:0000166	gibberellic acid sensitivity|GA3 response|GASN|GB response|gibberellic acid response|Gibberellin response	1
15574840	835849	['GS1']	2	TO:0000305	glutamine synthetase content|glutamate-ammonia ligase|glutamylhydroxamic synthetase|GS1|GS1CN|L-glutamine synthetase	2
15574840	835849	['GS1']	2	TO:0000434	root activity|RTACT	1
15574840	833738	['GLN1;1']	1	TO:0000305	glutamine synthetase content|glutamate-ammonia ligase|glutamylhydroxamic synthetase|GS1|GS1CN|L-glutamine synthetase	2
15574840	833738	['GLN1;1']	1	TO:0000434	root activity|RTACT	1
15574840	842935;833535	['GLN1;2']	1	TO:0000305	glutamine synthetase content|glutamate-ammonia ligase|glutamylhydroxamic synthetase|GS1|GS1CN|L-glutamine synthetase	2
15574840	842935;833535	['GLN1;2']	1	TO:0000434	root activity|RTACT	1
22761858	855009	['GLO1']	8	TO:0000599	enzyme activity trait|enzymatic activity|enzyme catalytic activity	2
22761858	854205	['GLO4']	8	TO:0000599	enzyme activity trait|enzymatic activity|enzyme catalytic activity	2
10394940	55733	['Skn']	1	TO:0000072	awn length|An|awning|AWNLG	1
22380792	832186	['AGG3', 'G protein gamma subunit (AGG3']	11	TO:0002682	plant cell shape	1
22380792	832186	['AGG3', 'G protein gamma subunit (AGG3']	11	TO:0002684	plant cell size	1
22380792	817170	['G protein alpha subunit', 'GPA1']	3	TO:0002682	plant cell shape	1
22380792	817170	['G protein alpha subunit', 'GPA1']	3	TO:0002684	plant cell size	1
22380792	829597	['AGB1']	2	TO:0002682	plant cell shape	1
22380792	829597	['AGB1']	2	TO:0002684	plant cell size	1
22685166	827605	['BRASSINOSTEROID-INSENSITIVE2', 'BIN2']	4	TO:0000387	plant trait|plant phenotype|plant quality	1
22685166	830095	['bri1']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
22685166	843845	['BRASSINAZOLE-RESISTANT1']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
15144377	819174	['SUPPRESOR OF OVEREXPRESSION OF CONSTANS 1', 'SOC1', 'SUPPRESSOR OF OVEREXPRESSION OF CO 1/AGAMOUS-LIKE 20', 'AGL20']	6	TO:0000387	plant trait|plant phenotype|plant quality	2
18296724	827469	['dynamin']	4	TO:0000387	plant trait|plant phenotype|plant quality	1
18296724	831441	['CONSTANS']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
18296724	842859	['FLOWERING LOCUS T']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
12407188	842859	['FLOWERING LOCUS T', 'FT']	5	TO:0000137	days to heading|DTHD|heading date	1
15094187	542406	['Zmhox1a']	1	TO:0000194	globular embryo	1
16021500	819107	['MAX3', 'max3', 'AtMAX3']	1	TO:0000346	tiller number|TINB	1
16021500	819107	['MAX3', 'max3', 'AtMAX3']	1	TO:0000792	axillary bud number	1
21880076	100527992	['IDEF1', 'HvIDEF1']	12	TO:0000072	awn length|An|awning|AWNLG	1
21880076	100527992	['IDEF1', 'HvIDEF1']	12	TO:0000430	germination rate|germination speed|GERMRATE|GERMSP	2
20009022	833982	['PRE1']	6	TO:0002688	leaf lamina joint bending	1
20009022	833982	['PRE1']	6	TO:0000872	leaf erect	1
20009022	818908	['IBH1']	4	TO:0002688	leaf lamina joint bending	1
20009022	818908	['IBH1']	4	TO:0000872	leaf erect	1
20009022	843845	['BRASSINAZOLE-RESISTANT1', 'BZR1']	2	TO:0002688	leaf lamina joint bending	1
20009022	843845	['BRASSINAZOLE-RESISTANT1', 'BZR1']	2	TO:0000872	leaf erect	1
23124325	814725	['AtIDD15']	1	TO:0000039	yield component	1
17245561	831039	['NADP-ME2']	8	TO:0000434	root activity|RTACT	1
17245561	831039	['NADP-ME2']	8	TO:0000106	male sterility type|MS	1
17245561	831039	['NADP-ME2']	8	TO:0000227	root length|maximum root depth|maximum root length|MRD|MRL|RTLG	1
17245561	831039	['NADP-ME2']	8	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	1
17245561	831039	['NADP-ME2']	8	TO:0006001	salt tolerance|SALTTL	1
23420902	542051	['NARROW SHEATH1', 'NS1']	1	TO:0000492	leaf shape|LFSHP	4
23420902	542051	['NARROW SHEATH1', 'NS1']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
23420902	542051	['NARROW SHEATH1', 'NS1']	1	TO:0000241	leaf number|LFNB	1
23420902	542051	['NARROW SHEATH1', 'NS1']	1	TO:0000370	leaf width|LFWD|lfwid|LW	1
23420902	542051	['NARROW SHEATH1', 'NS1']	1	TO:0006062	plant width	1
23420902	542147	['NS2']	1	TO:0000492	leaf shape|LFSHP	4
23420902	542147	['NS2']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
23420902	542147	['NS2']	1	TO:0000241	leaf number|LFNB	1
23420902	542147	['NS2']	1	TO:0000370	leaf width|LFWD|lfwid|LW	1
23420902	542147	['NS2']	1	TO:0006062	plant width	1
17309686	842733	['NPR1', 'npr1']	5	TO:0000112	disease resistance|disease control|disease resistance trait|disease susceptibility|disease tolerance	4
17309686	842733	['NPR1', 'npr1']	5	TO:0000315	bacterial disease resistance	1
17309686	842733	['NPR1', 'npr1']	5	TO:0000770	bacterial blight disease resistance	1
20561248	842733	['NPR1', 'npr1']	5	TO:0000112	disease resistance|disease control|disease resistance trait|disease susceptibility|disease tolerance	1
20561248	842733	['NPR1', 'npr1']	5	TO:0000479	acid sensitivity|ADSN	1
21486304	837327	['NRT2']	1	TO:0020099	nitrate transport	2
21486304	835085	['NRT3.1']	1	TO:0020099	nitrate transport	2
10677431	837763	['CHL1', 'AtNRT1']	2	TO:0020099	nitrate transport	2
10677431	837763	['CHL1', 'AtNRT1']	2	TO:0020100	nitrate uptake	1
10677431	108710756	['CHL1']	1	TO:0020099	nitrate transport	2
10677431	108710756	['CHL1']	1	TO:0020100	nitrate uptake	1
16891402	817212	['CYP734A1', 'BAS1']	3	TO:0000072	awn length|An|awning|AWNLG	1
22642989	836412	['ARR6']	1	TO:0000428	callus induction|CAIND	1
22642989	827297	['ARR2']	1	TO:0000428	callus induction|CAIND	1
19225807	828603	['AMY1']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	1
17938955	815160	['OPR3', 'opr3']	3	TO:0000437	male sterility|degree of male sterility of male sterile lines|male sterility measure|MALEST	1
22382682	856208	['ASR1']	6	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	2
22382682	856208	['ASR1']	6	TO:0000168	abiotic stress trait|abiotic stress tolerance	1
22382682	856208	['ASR1']	6	TO:0000259	heat tolerance|HTol	1
22382682	856208	['ASR1']	6	TO:0006052	copper concentration	1
22382682	856208	['ASR1']	6	TO:0002657	oxidative stress	3
21670506	854324	['PDR5']	1	TO:0000072	awn length|An|awning|AWNLG	1
22301130	818199	['AtABI5', 'ABI5']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	3
22301130	818199	['AtABI5', 'ABI5']	1	TO:0000188	drought sensitivity|drought susceptibility|DRS|DRSN	1
22301130	818199	['AtABI5', 'ABI5']	1	TO:0000276	drought tolerance|drought resistance|DRTL	4
16786297	821625	['EIN3', 'ein3']	5	TO:0000173	ethylene sensitivity|ETHSN|ethylene response	3
16786297	821625	['EIN3', 'ein3']	5	TO:0000401	plant growth hormone sensitivity|growth regulator sensitivity|plant hormone response	1
16786297	821625	['EIN3', 'ein3']	5	TO:0000737	plant aspect	1
16786297	821625	['EIN3', 'ein3']	5	TO:0000387	plant trait|plant phenotype|plant quality	1
24279948	832636	['RD22']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	2
24279948	832636	['RD22']	1	TO:0000168	abiotic stress trait|abiotic stress tolerance	2
24279948	832636	['RD22']	1	TO:0000434	root activity|RTACT	1
24279948	832636	['RD22']	1	TO:0000227	root length|maximum root depth|maximum root length|MRD|MRL|RTLG	1
24279948	832636	['RD22']	1	TO:0000430	germination rate|germination speed|GERMRATE|GERMSP	1
24279948	821463	['ABF4']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	2
24279948	821463	['ABF4']	1	TO:0000168	abiotic stress trait|abiotic stress tolerance	2
24279948	821463	['ABF4']	1	TO:0000434	root activity|RTACT	1
24279948	821463	['ABF4']	1	TO:0000227	root length|maximum root depth|maximum root length|MRD|MRL|RTLG	1
24279948	821463	['ABF4']	1	TO:0000430	germination rate|germination speed|GERMRATE|GERMSP	1
24279948	830424	['DREB2A']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	2
24279948	830424	['DREB2A']	1	TO:0000168	abiotic stress trait|abiotic stress tolerance	2
24279948	830424	['DREB2A']	1	TO:0000434	root activity|RTACT	1
24279948	830424	['DREB2A']	1	TO:0000227	root length|maximum root depth|maximum root length|MRD|MRL|RTLG	1
24279948	830424	['DREB2A']	1	TO:0000430	germination rate|germination speed|GERMRATE|GERMSP	1
24279948	825316	['PIP1']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	2
24279948	825316	['PIP1']	1	TO:0000168	abiotic stress trait|abiotic stress tolerance	2
24279948	825316	['PIP1']	1	TO:0000434	root activity|RTACT	1
24279948	825316	['PIP1']	1	TO:0000227	root length|maximum root depth|maximum root length|MRD|MRL|RTLG	1
24279948	825316	['PIP1']	1	TO:0000430	germination rate|germination speed|GERMRATE|GERMSP	1
24279948	818487;824510;829662	['PIP2; 6']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	2
24279948	818487;824510;829662	['PIP2; 6']	1	TO:0000168	abiotic stress trait|abiotic stress tolerance	2
24279948	818487;824510;829662	['PIP2; 6']	1	TO:0000434	root activity|RTACT	1
24279948	818487;824510;829662	['PIP2; 6']	1	TO:0000227	root length|maximum root depth|maximum root length|MRD|MRL|RTLG	1
24279948	818487;824510;829662	['PIP2; 6']	1	TO:0000430	germination rate|germination speed|GERMRATE|GERMSP	1
22846038	825473	['TIR1', 'TRANSPORT INHIBITOR RESPONSE 1']	3	TO:0000387	plant trait|plant phenotype|plant quality	1
15599592	817206	['AKT1']	1	TO:0000008	potassium sensitivity|KSN|potassium deficiency	1
15599592	817206	['AKT1']	1	TO:0000429	salt sensitivity|Sal|saline sensitivity|SALTSN	1
15599592	817206	['AKT1']	1	TO:0000514	potassium uptake|KUP	1
25096783	817206	['AKT1', 'akt1']	11	TO:0000387	plant trait|plant phenotype|plant quality	2
25096783	827481	['CBL1']	5	TO:0000387	plant trait|plant phenotype|plant quality	2
25096783	839907	['CIPK23']	6	TO:0000387	plant trait|plant phenotype|plant quality	2
11027709	107782067	['Aldh2a', 'ALDH2a']	9	TO:0000286	submergence sensitivity|Sub|submergence tolerance|SUBSN	1
11027709	107782067	['Aldh2a', 'ALDH2a']	9	TO:0000524	submergence tolerance|SUBTL	1
11027709	542363	['Adh1']	1	TO:0000286	submergence sensitivity|Sub|submergence tolerance|SUBSN	1
11027709	542363	['Adh1']	1	TO:0000524	submergence tolerance|SUBTL	1
11027709	542376	['Pdc1']	1	TO:0000286	submergence sensitivity|Sub|submergence tolerance|SUBSN	1
11027709	542376	['Pdc1']	1	TO:0000524	submergence tolerance|SUBTL	1
17666027	839982	['UNUSUAL FLORAL ORGAN', 'UFO', 'ufo']	4	TO:0000152	panicle number|NOP|NP|number of effective tiller per plant|number of panicle|panicle number per plant|panicle number per tiller|PN|PNNB|seed setting tillers per plant|spike number|TP	1
17666027	839982	['UNUSUAL FLORAL ORGAN', 'UFO', 'ufo']	4	TO:0000456	spikelet number|number of spikelets per panicle|spikelet number per panicle|SPKNB	1
17666027	839982	['UNUSUAL FLORAL ORGAN', 'UFO', 'ufo']	4	TO:0000582	inflorescence number|INFLONB	1
17666027	839982	['UNUSUAL FLORAL ORGAN', 'UFO', 'ufo']	4	TO:0006018	organ identity	1
17666027	839982	['UNUSUAL FLORAL ORGAN', 'UFO', 'ufo']	4	TO:0006019	floral organ identity	1
21910771	836307	['LEAFY', 'LFY']	5	TO:0006017	meristem identity|meristem determinacy	3
21910771	836307	['LEAFY', 'LFY']	5	TO:0000152	panicle number|NOP|NP|number of effective tiller per plant|number of panicle|panicle number per plant|panicle number per tiller|PN|PNNB|seed setting tillers per plant|spike number|TP	1
21910771	836307	['LEAFY', 'LFY']	5	TO:0000456	spikelet number|number of spikelets per panicle|spikelet number per panicle|SPKNB	1
21910771	836307	['LEAFY', 'LFY']	5	TO:0000547	primary branch number|NPB|number of primary rachis branches|panicle primary branch number|PBRNB|PRB|primary branches per panicle	2
21910771	836307	['LEAFY', 'LFY']	5	TO:0000582	inflorescence number|INFLONB	1
21910771	836307	['LEAFY', 'LFY']	5	TO:0000735	plastochron	1
21910771	836307	['LEAFY', 'LFY']	5	TO:0006018	organ identity	1
21910771	836307	['LEAFY', 'LFY']	5	TO:0006019	floral organ identity	1
21910771	842789	['APO1']	2	TO:0006017	meristem identity|meristem determinacy	3
21910771	842789	['APO1']	2	TO:0000152	panicle number|NOP|NP|number of effective tiller per plant|number of panicle|panicle number per plant|panicle number per tiller|PN|PNNB|seed setting tillers per plant|spike number|TP	1
21910771	842789	['APO1']	2	TO:0000456	spikelet number|number of spikelets per panicle|spikelet number per panicle|SPKNB	1
21910771	842789	['APO1']	2	TO:0000547	primary branch number|NPB|number of primary rachis branches|panicle primary branch number|PBRNB|PRB|primary branches per panicle	2
21910771	842789	['APO1']	2	TO:0000582	inflorescence number|INFLONB	1
21910771	842789	['APO1']	2	TO:0000735	plastochron	1
21910771	842789	['APO1']	2	TO:0006018	organ identity	1
21910771	842789	['APO1']	2	TO:0006019	floral organ identity	1
20132733	819174	['SUPPRESOR OF OVEREXPRESSION OF CONSTANS 1', 'SOC1', 'SUPPRESSOR OF OVEREXPRESSION OF CO 1/AGAMOUS-LIKE 20', 'AGL20']	1	TO:0000615	abscisic acid sensitivity|ABA response|ABASN|abscisic acid response	1
20132733	819174	['SUPPRESOR OF OVEREXPRESSION OF CONSTANS 1', 'SOC1', 'SUPPRESSOR OF OVEREXPRESSION OF CO 1/AGAMOUS-LIKE 20', 'AGL20']	1	TO:0000276	drought tolerance|drought resistance|DRTL	1
20132733	836307	['LEAFY', 'LFY']	1	TO:0000615	abscisic acid sensitivity|ABA response|ABASN|abscisic acid response	1
20132733	836307	['LEAFY', 'LFY']	1	TO:0000276	drought tolerance|drought resistance|DRTL	1
20132733	843244	['APETALA1', 'AP1']	1	TO:0000615	abscisic acid sensitivity|ABA response|ABASN|abscisic acid response	1
20132733	843244	['APETALA1', 'AP1']	1	TO:0000276	drought tolerance|drought resistance|DRTL	1
20576316	843221	['bZIP']	3	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	1
20576316	843221	['bZIP']	3	TO:0000168	abiotic stress trait|abiotic stress tolerance	1
20576316	843221	['bZIP']	3	TO:0002657	oxidative stress	2
22913536	837792	['AtPHR1']	1	TO:0000163	auxin sensitivity|AUXSN|IAA response|IAA sensitivity|indole-3-acetic acid response|indole-3-acetic acid sensitivity	1
19706531	4345606	['Badh2', 'badh2', 'BADH2']	5	TO:0000162	grain quality trait	1
15604704	107772127	['AP2']	2	TO:0000074	blast disease resistance|blast disease resistance trait|blast disease susceptibility	1
15604704	107772127	['AP2']	2	TO:0000112	disease resistance|disease control|disease resistance trait|disease susceptibility|disease tolerance	7
15604704	107772127	['AP2']	2	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	2
15604704	107772127	['AP2']	2	TO:0000315	bacterial disease resistance	1
15604704	107772127	['AP2']	2	TO:0006001	salt tolerance|SALTTL	2
18441339	837304	['AtApx1']	1	TO:0000112	disease resistance|disease control|disease resistance trait|disease susceptibility|disease tolerance	1
18441339	837304	['AtApx1']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
18441339	837304	['AtApx1']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	1
18441339	837304	['AtApx1']	1	TO:0002657	oxidative stress	1
18441339	820121	['AtApx2']	1	TO:0000112	disease resistance|disease control|disease resistance trait|disease susceptibility|disease tolerance	1
18441339	820121	['AtApx2']	1	TO:0000387	plant trait|plant phenotype|plant quality	1
18441339	820121	['AtApx2']	1	TO:0000164	stress trait|crop damage|stress resistance|stress susceptibility|stress tolerance	1
18441339	820121	['AtApx2']	1	TO:0002657	oxidative stress	1
