genename	relation	PTOterm	distance
Wxb	indicate	AC	2
Wxb	indicate	endosperm quality	4
AtUBP13	increased	stress tolerance	5
OVATE	identified	fruit shape	8
MIZ1	identified	stress tolerance	8
peroxidase	showed	relative biomass	5
peroxidase	showed	stress tolerance	4
peroxidase	showed	abscisic acid content	4
peroxidase	showed	chlorophyll content	4
peroxidase	showed	carotenoid content	3
peroxidase	showed	hydrogen peroxide content	4
peroxidase	showed	relative chlorophyll content	4
PPDK	isolated	PPDK	0
PPDK	was	PPDK	0
PPDK	examined	PPDK	0
